Genero;Idade;Escolaridade;Trabalho;Reg_metrop;Cor;Reg_Urbano;Cart_assinada;Pobreza
Feminino;51;2;9;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;44;4;3;Metrop;Branco;Urbano;Sim;Nao
Feminino;53;7;10;Metrop;Branco;Urbano;Sim;Pobreza
Feminino;44;7;9;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;29;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;54;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;77;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;68;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;36;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;40;2;4;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;38;5;4;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;36;7;9;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;40;2;1;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;35;5;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;48;7;9;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;50;2;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;37;5;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;26;5;5;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;67;4;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;64;2;6;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;33;5;5;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;51;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;48;2;4;Nao_Metrop;Branco;Rural;Sim;Nao
Feminino;42;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;17;4;7;Nao_Metrop;Nao Branco;Rural;Nao;Nao
Masculino;51;2;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Feminino;47;2;4;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;62;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;39;2;1;Nao_Metrop;Branco;Rural;Nao;Pobreza
Masculino;70;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;60;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;32;6;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;61;6;8;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;29;7;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;28;7;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;38;7;7;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;32;7;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;38;4;4;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Feminino;60;4;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;57;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;67;4;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;65;7;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;64;7;7;Metrop;Branco;Urbano;Nao;Nao
Feminino;42;7;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;44;7;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;41;7;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;23;6;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;35;3;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;36;6;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;40;5;1;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;49;3;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;31;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;46;5;5;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;30;7;2;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;41;2;5;Nao_Metrop;Branco;Urbano;Sim;Pobreza
Masculino;24;5;4;Nao_Metrop;Branco;Urbano;Sim;Pobreza
Feminino;46;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;16;2;4;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;28;5;5;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;49;2;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;27;2;2;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;36;5;3;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;36;3;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;34;4;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;34;5;4;Nao_Metrop;Branco;Urbano;Sim;Nao
Feminino;29;5;10;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;38;3;2;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;40;5;1;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;43;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;30;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;43;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;18;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;51;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;50;2;4;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;22;3;1;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Feminino;44;7;9;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;44;4;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;35;2;1;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;43;3;2;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
